"	amplitude_id","	user_id","	city","	country","	device","	device_type","	dma","	gt:acc_id","	ip_address","	language","	library","	os","	platform","	region","	gp:fbclid","	gp:gclid","	gp:initial_fbclid","	gp:initial_gclid","	gp:initial_referrer","	gp:initial_referring_domain","	gp:initial_utm_campaign","	gp:initial_utm_content","	gp:initial_utm_medium","	gp:initial_utm_source","	gp:initial_utm_term","	gp:referrer","	gp:referring_domain","	gp:user_accounts_created","	gp:user_cookie_campaign","	gp:user_cookie_content","	gp:user_cookie_fbclid","	gp:user_cookie_gclid","	gp:user_cookie_http_referrer","	gp:user_cookie_keyword","	gp:user_cookie_lp_full","	gp:user_cookie_lpcleaned","	gp:user_cookie_medium","	gp:user_cookie_source","	gp:user_invited","	gp:user_latest_nps","	gp:user_mrr","	gp:user_obsurvey_business_type","	gp:user_obsurvey_current_tool","	gp:user_obsurvey_main_activity","	gp:user_obsurvey_start_when","	gp:user_obsurvey_used_before","	gp:user_signup_howwemet","	gp:user_total_accounts","	gp:user_total_logins","	gp:user_users_invited","	gp:utm_campaign","	gp:utm_content","	gp:utm_medium","	gp:utm_source","	gp:utm_term"
"	293018058791","	612cea24695ba218425d2997","	Sant Vicenç dels Horts","	Spain","	","	","	","	[""612cea46a169ca70c329fe00""]","	95.19.143.113","	Spanish","	http/2.0","	","	web","	Barcelona","	","	Cj0KCQjwg7KJBhDyARIsAHrAXaHqkUCc4zFMDv1T_OFLqB9KjDD-FhU1-tyPXFXef9OcBG5qZoliB1gaAj1YEALw_wcB","	","	Cj0KCQjwg7KJBhDyARIsAHrAXaHqkUCc4zFMDv1T_OFLqB9KjDD-FhU1-tyPXFXef9OcBG5qZoliB1gaAj1YEALw_wcB","	https://www.google.com/","	www.google.com","	brand_10388931271","	104378540118_444763332398","	cpc","	google","	holded","	https://app.holded.com/boards","	app.holded.com","	1","	brand_10388931271","	104378540118_444763332398","	","	Cj0KCQjwg7KJBhDyARIsAHrAXaHqkUCc4zFMDv1T_OFLqB9KjDD-FhU1-tyPXFXef9OcBG5qZoliB1gaAj1YEALw_wcB","	https://www.google.com/","	holded","	https://www.holded.com/es?utm_source=google&utm_medium=cpc&utm_campaign=brand_10388931271&utm_content=104378540118_444763332398&utm_term=holded&hld_device=c&hld_network=g&hld_matchtype=e&hsa_acc=7276020979&hsa_ad=444763332398&hsa_mt=e&hsa_kw=holded&hsa_ver=3&hsa_src=g&hsa_cam=10388931271&hsa_grp=104378540118&hsa_net=adwords&hsa_tgt=aud-807990005699:kwd-314272695052&gclid=Cj0KCQjwg7KJBhDyARIsAHrAXaHqkUCc4zFMDv1T_OFLqB9KjDD-FhU1-tyPXFXef9OcBG5qZoliB1gaAj1YEALw_wcB","	https://www.holded.com/es","	cpc","	google","	false","	","	0","	retails","	nothing","	inventory","	now","	never","	Social","	1","	1","	","	brand_10388931271","	104378540118_444763332398","	cpc","	google","	holded"
"	223924903977","	5ffae10968155a638d1f692e","	Madrid","	Spain","	Windows","	Windows","	","	","	83.48.57.121","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Madrid","	","	","	","	","	https://app.holded.com/doc/invoice/new","	app.holded.com","	","	","	","	","	","	https://app.holded.com/doc/invoice/new","	app.holded.com","	1","	","	","	","	","	","	","	https://www.holded.com/es/blog/ratio-de-endeudamiento-que-es-como-se-calcula-y-cual-es-el-maximo-aceptable","	https://www.holded.com/es/blog/ratio-de-endeudamiento-que-es-como-se-calcula-y-cual-es-el-maximo-aceptable","	organic","	google.com","	false","	9","	12","	services","	spreadsheet","	invoicing","	innextmonth","	never","	Social","	1","	117","	1","	","	","	","	","	"
"	292977098799","	612cc64aabc10878ff33a8f9","	Teruel","	Spain","	Android","	Android","	","	","	212.106.249.41","	Spanish","	amplitude-js/8.1.0","	Chrome Mobile 92","	Web","	Teruel","	","	Cj0KCQjwg7KJBhDyARIsAHrAXaE3xeOteye6ThwJg30K8BTnKb_orIiz4D_jh8QKNXHQL5JCL3ZX8HcaAn42EALw_wcB","	","	Cj0KCQjwg7KJBhDyARIsAHrAXaE3xeOteye6ThwJg30K8BTnKb_orIiz4D_jh8QKNXHQL5JCL3ZX8HcaAn42EALw_wcB","	https://youtube.com/","	youtube.com","	youtube_acq_13526002054","	122235473223_538279053529","	cpc","	google","	","	https://youtube.com/","	youtube.com","	","	youtube_acq_13526002054","	122235473223_538279053529","	","	Cj0KCQjwg7KJBhDyARIsAHrAXaE3xeOteye6ThwJg30K8BTnKb_orIiz4D_jh8QKNXHQL5JCL3ZX8HcaAn42EALw_wcB","	https://youtube.com/","	","	https://app.holded.com/signup?lang=es&utm_source=google&utm_medium=cpc&utm_campaign=youtube_acq_13526002054&utm_content=122235473223_538279053529&utm_term=&hld_device=m&hld_network=ytv&hld_matchtype=&hld_placement=youtube.com&hsa_acc=6249003211&hsa_ad=538279053529&hsa_mt=&hsa_kw=&hsa_ver=3&hsa_src=ytv&hsa_cam=13526002054&hsa_grp=122235473223&hsa_net=adwords&hsa_tgt=&gclid=Cj0KCQjwg7KJBhDyARIsAHrAXaE3xeOteye6ThwJg30K8BTnKb_orIiz4D_jh8QKNXHQL5JCL3ZX8HcaAn42EALw_wcB","	https://app.holded.com/signup","	cpc","	google","	false","	","	","	","	","	","	","	","	","	","	1","	","	youtube_acq_13526002054","	122235473223_538279053529","	cpc","	google","	"
"	293602983985","	612f3997a90ad22649664e09","	Madrid","	Spain","	Windows","	Windows","	","	[""612f39b6b25ece27be206198""]","	212.81.190.116","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Madrid","	","	CjwKCAjwybyJBhBwEiwAvz4G7wDzbubc0oLfW_kZIERPgoCOGXqpUQByp-Ddfv5K3BPv1ENVNhTs-xoCc7gQAvD_BwE","	","	CjwKCAjwybyJBhBwEiwAvz4G7wDzbubc0oLfW_kZIERPgoCOGXqpUQByp-Ddfv5K3BPv1ENVNhTs-xoCc7gQAvD_BwE","	https://www.google.com/","	www.google.com","	competitor_10041700293","	101025213517_496279579104","	cpc","	google","	xero","	https://www.google.com/","	www.google.com","	1","	competitor_10041700293","	101025213517_496279579104","	","	CjwKCAjwybyJBhBwEiwAvz4G7wDzbubc0oLfW_kZIERPgoCOGXqpUQByp-Ddfv5K3BPv1ENVNhTs-xoCc7gQAvD_BwE","	https://www.google.com/","	xero","	https://go.holded.com/es/comparacion/xero/?utm_source=google&utm_medium=cpc&utm_campaign=competitor_10041700293&utm_content=101025213517_496279579104&utm_term=xero&hld_device=c&hld_network=g&hld_matchtype=e&hsa_acc=7276020979&hsa_ad=496279579104&hsa_mt=e&hsa_kw=xero&hsa_ver=3&hsa_src=g&hsa_cam=10041700293&hsa_grp=101025213517&hsa_net=adwords&hsa_tgt=kwd-294791067&gclid=CjwKCAjwybyJBhBwEiwAvz4G7wDzbubc0oLfW_kZIERPgoCOGXqpUQByp-Ddfv5K3BPv1ENVNhTs-xoCc7gQAvD_BwE","	https://go.holded.com/es/comparacion/xero/","	cpc","	google","	false","	","	0","	services","	cloudsoftware","	invoicing","	innextmonth","	never","	Search engine","	1","	1","	","	competitor_10041700293","	101025213517_496279579104","	cpc","	google","	xero"
"	225094729781","	5b1fddf32e1d9373cc2adef1","	Viladecans","	Spain","	Windows","	Windows","	","	","	217.126.124.220","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Barcelona","	","	","	","	","	https://app.holded.com/contacts","	app.holded.com","	","	","	","	","	","	https://app.holded.com/sales/revenue","	app.holded.com","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	25","	","	","	","	","	","	"
"	291044720695","	6124c8ac379f4272a82e4d3e","	Madrid","	Spain","	","	","	","	","	79.148.47.28","	Spanish","	http/2.0","	","	web","	Madrid","	","	","	","	","	","	","	5c7eac9aa265640f9c683b2d","	5cffc06d6a9728079e0a64a3","	referral","	team_invite","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	true","	","	","	","	","	","	","	","	","	","	1","	","	5c7eac9aa265640f9c683b2d","	5cffc06d6a9728079e0a64a3","	referral","	team_invite","	"
"	293625765944","	612f530bf11cb269dc6844b2","	Sabadell","	Spain","	Windows","	Windows","	","	[""612f533d928e6c3f991a4914""]","	83.49.21.151","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Barcelona","	","	CjwKCAjwybyJBhBwEiwAvz4G7xw25MGFEvAzCNBwDJliBfP4XYLblhGW68sDr90F9d2oDsc3YzMH2RoCxvUQAvD_BwE","	","	CjwKCAjwybyJBhBwEiwAvz4G7_EQ00eDzZSu6vsVOZMCKs9mfeTlZI_wkepukWx821H5D3v-oIjfeBoC0tsQAvD_BwE","	https://www.google.com/","	www.google.com","	brand_10388931271","	104378542478_444763332860","	cpc","	google","	holded proyectos","	https://app.holded.com/import","	app.holded.com","	1","	","	","	","	","	","	","	","	","	","	","	false","	","	0","	services","	spreadsheet","	invoicing","	browsing","	never","	Word of mouth","	1","	1","	1","	brand_10388931271","	104378542718_444763332884","	cpc","	google","	holded tarifas"
"	264888729659","	5ec81df46a97286e53262119","	Barcelona","	Spain","	Linux","	Linux","	","	","	83.39.143.182","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Barcelona","	","	","	","	","	https://app.holded.com/tp/caringwell","	app.holded.com","	","	","	","	","	","	https://app.holded.com/tp/caringwell","	app.holded.com","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	4","	","	","	","	","	","	"
"	224736198719","	5eec42096a97282c4f3102c2","	Toledo","	Spain","	Mac","	Mac","	","	","	83.58.13.21","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Toledo","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	9","	49","	","	","	","	","	","	","	2","	42","	","	","	","	","	","	"
"	293607850051","	5d2f326e6a97285f541a96b3","	Barcelona","	Spain","	Android","	Android","	","	","	85.54.113.36","	Spanish","	amplitude-js/8.1.0","	Chrome Mobile 92","	Web","	Barcelona","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	3","	","	","	","	","	","	"
